ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18°C	stage preceded by
ID	A rdfs:label	C %	C  'part of' some %	C  'develops from' some %	C  'existence starts during' some %	C  'existence ends during' some %	A obo:IAO_0000115	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasDbXref													A obo:IAO_0000301		C 'immediately preceded by' some %
ECAO:0000010	life cycle period																							
ECAO:0000020	gametogenesis	UBERON:0000105	life cycle period				Biological process during which certain cells of a female or male individual (parent) are transformed into specialized reproductive cells (gametes) that will initiate development of a progeny individual (offspring) upon fertilization.																0:00:00	
ECAO:0000030	oogenesis period		gametogenesis				Period during which female gametes (or oocytes, or eggs) develop and mature from primordial female germ cells to generate cells competent to further development upon fertilization by a mature spermatozoid.	ovogenesis period															0:00:00	
ECAO:0000040	previtellogenic primary oocyte stage		oogenesis period				A female gamete that is small in size, i.e. about 10??m in diameter, and that is at the previtellogenic stage.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	
ECAO:0000050	not fully grown oocyte stage		oogenesis period				A developing female gamete that started growing in size by accumulation of yolk proteins. At this stage, it is characterized by the presence of a large nucleus, the germinal vesicle, which contains a prominent nucleolus and occupies most of the cytoplasm.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	previtellogenic primary oocyte stage
ECAO:0000060	fully grown oocyte with centered germinal vesicle stage		oogenesis period				A developing female gamete that has reached its full size. It has grown up to ten times its original size, i.e. 80 to 100??m. It also displays a large germinal vesicle that is centered, but it is still not competent for fertilization.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	not fully grown oocyte stage
ECAO:0000070	fully grown oocyte with off-centered germinal vesicle stage		oogenesis period				A developing female gamete that has reached its full size and in which the germinal vesicle has moved asymmetrically to the cell periphery. The germinal vesicle is now close to the animal pole.	primary oocyte													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	fully grown oocyte with centered germinal vesicle stage
ECAO:0000080	fully grown oocyte with no nucleus stage		oogenesis period				A developing female gamete in which the germinal vesicle has broken down. The germinal vesicle is no longer visible. However, the female gamete is still not mature. It is undergoing meiotic maturation, extruding successively a first and a second polar body.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81  Wessel, G. M., Conner, S. D. and Berg, L. (2002). Cortical granule translocation is microfilament mediated and linked to meiotic maturation in the sea urchin oocyte. Development 129, 4315–4325.  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	fully grown oocyte with off-centered germinal vesicle stage
ECAO:0000090	mature oocyte stage		oogenesis period				A mature female gamete that has achieved its meiotic maturation and in which the female pronucleus is visible. The mature oocyte is arrested in G1 phase and its average size is 80 to 100 µm. It is surrounded by a transparent jelly coat that is about 30 µm thick. It is competent to fertilization and it is located in the female gonad where it may be stored for weeks to months before its release in sea water by spawning. In the P. lividus species, the mature female gametes are characterized by the presence of pigment granules concentrated  in a subequatorial band. This band is classically called the pigment band and allows to visualize the first embryonic axis, i.e. the animal-vegetal axis, which is perpendicular to the band.	unfertilized egg, spawned egg													Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin Paracentrotus lividus. Experimental Cell Research 160, 73–82  Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81  Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87–114. Academic Press		0:00:00	fully grown oocyte with no nucleus stage
