ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18ÃƒÂ‚Ã‚Â°C	stage preceded by	subset				
ID	A rdfs:label	C %	C 'part of' some %	C 'develops from' some %	C 'existence starts during' some %	C 'existence ends during' some %	A obo:IAO_0000115	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasDbXref													A obo:IAO_0000301		C 'immediately preceded by' some %	A oio:hasOBONamespace				
ECAO:0000009	Life cycle																												
ECAO:0000010	Life cycle phase		Life cycle				A temporal phase encompassing some part of the life cycle of an organism.																						
ECAO:0000020	gametogenesis phase		Life cycle phase				Biological process during which certain cells of a female or male individual (parent) are transformed into specialized reproductive cells (gametes) that will initiate development of a progeny individual (offspring) upon fertilization.																						
ECAO:0000030	oogenesis period		gametogenesis phase	 			Period during which female gametes (or oocytes, or eggs) develop and mature from primordial female germ cells to generate cells competent to further development upon fertilization by a mature spermatozoid.	ovogenesis period															0:00:00		ecao_developmental_stage				
ECAO:0000040	previtellogenic primary oocyte stage		oogenesis period				A female gamete that is small in size, i.e. about 10 microm in diameter, and that is at the previtellogenic stage.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81. Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00		ecao_developmental_stage				
ECAO:0000050	not fully grown oocyte stage		oogenesis period				A developing female gamete that started growing in size by accumulation of yolk proteins. At this stage, it is characterized by the presence of a large nucleus, the germinal vesicle, which contains a prominent nucleolus and occupies most of the cytoplasm.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81. Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00	previtellogenic primary oocyte stage	ecao_developmental_stage				
ECAO:0000060	fully grown oocyte with centered germinal vesicle stage		oogenesis period				A developing female gamete that has reached its full size. It has grown up to ten times its original size, i.e. 80 to 100microm. It also displays a large germinal vesicle that is centered, but it is still not competent for fertilization.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81. Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00	not fully grown oocyte stage	ecao_developmental_stage				
ECAO:0000070	fully grown oocyte with off-centered germinal vesicle stage		oogenesis period				A developing female gamete that has reached its full size and in which the germinal vesicle has moved asymmetrically to the cell periphery. The germinal vesicle is now close to the animal pole.	primary oocyte													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81. Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00	fully grown oocyte with centered germinal vesicle stage	ecao_developmental_stage				
ECAO:0000080	fully grown oocyte with no nucleus stage		oogenesis period				A developing female gamete in which the germinal vesicle has broken down. The germinal vesicle is no longer visible. However, the female gamete is still not mature. It is undergoing meiotic maturation, extruding successively a first and a second polar body.														Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81 Wessel, G. M., Conner, S. D. and Berg, L. (2002). Cortical granule translocation is microfilament mediated and linked to meiotic maturation in the sea urchin oocyte. Development 129, 4315ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ4325. Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00	fully grown oocyte with off-centered germinal vesicle stage	ecao_developmental_stage				
ECAO:0000090	mature oocyte stage		oogenesis period				A mature female gamete that has achieved its meiotic maturation and in which the female pronucleus is visible. The mature oocyte is arrested in G1 phase and its average size is 80 to 100 ÃƒÂ‚Ã‚Âµm. It is surrounded by a transparent jelly coat that is about 30 ÃƒÂ‚Ã‚Âµm thick. It is competent to fertilization and it is located in the female gonad where it may be stored for weeks to months before its release in sea water by spawning. In the P. lividus species, the mature female gametes are characterized by the presence of pigment granules concentrated in a subequatorial band. This band is classically called the pigment band and allows to visualize the first embryonic axis, i.e. the animal-vegetal axis, which is perpendicular to the band.	unfertilized egg, spawned egg													Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin Paracentrotus lividus. Experimental Cell Research 160, 73ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ82 Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81 Wessel, G. M., Voronina, E. and Brooks, J. M. (2004). Obtaining and Handling Echinoderm Oocytes. In Methods in Cell Biology, pp. 87ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ114. Academic Press		0:00:00	fully grown oocyte with no nucleus stage	ecao_developmental_stage				
ECAO:0000100	spermatogenesis period		gametogenesis phase				Period during which male gametes (or spermatozoa, or spermatozoid) develop and mature from primordial male germ cells to generate cells competent to further development upon fertilization of a mature oocyte.																0:00:00	oogenesis period	ecao_developmental_stage				
ECAO:0000110	developing spermatozoa stage		spermatogenesis period				A developing, immature male gamete undergoing mitosis and meiosis to ultimately produce mature spermatozoa.	spermatid													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81.		0:00:00	mature oocyte stage	ecao_developmental_stage				
ECAO:0000120	mature spermatozoid stage		spermatogenesis period				A mature male gamete that is composed of a head, encompassing a compact nucleus, a neck, a middle piece, and a tail (or flagellum) that propels it towards the oocyte upon spawning.	sperm, spermatozoa													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ81.		0:00:00	developing spermatozoa stage	ecao_developmental_stage				
ECAO:0000130	embryogenesis phase		Life cycle phase				The phase of the life cycle that begins with fertilization, continues with the formation and maturation of the embryo, and ends with the opening of the mouth, the onset of feeding, and the beginning of the growth of the organism.																						
ECAO:0000135	stage 1		embryogenesis phase				Fertilization has occurred but the zygote has not divided (1-cell stage).													NCBITaxon:7586				spermatogenesis period	ecao_developmental_stage				
ECAO:0000140	1-cell stage		stage 1				Fertilization has occurred, but the zygote has not undergone cell division. The embryo is a single diploid cell surrounded by a fertilization envelope	zygote stage, fertilized egg	UBERON:0000106												Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin Paracentrotus lividus. Experimental Cell Research 160, 73ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ82 Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		0:00:00	spermatogenesis period	ecao_developmental_stage				
ECAO:0000150	cleavage period		embryogenesis phase				The period that immediately follows fertilization and is characterized by rapid, synchronous mitotic cell divisions in the absence of cell growth. Cleavage culminates in the formation of a hollow, spherical, multicellular, monolayered embryo (a blastula) with a hollow cavity (the blastocoel) in the center.		UBERON:0000107																ecao_developmental_stage				
ECAO:0000155	stage 2		cleavage period				The embryo is composed of 2 cells (2-cell stage).													NCBITaxon:7586				stage 1	ecao_developmental_stage				
ECAO:0000160	2-cell stage		stage 2				The embryo is composed of two cells and is surrounded by a fertilization envelope. The first cleavage division has taken place meridionally (i.e. along the animal-vegetal axis), thereby generating two blastomeres of equal size, each containing both animal and vegetal cytoplasm.	2c	UBERON:0007232												Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		1:40:00	1-cell stage	ecao_developmental_stage				
ECAO:0000165	stage 3		cleavage period				The embryo is composed of 4 cells (4-cell stage).													NCBITaxon:7586				stage 2	ecao_developmental_stage				
ECAO:0000170	4-cell stage		stage 3				The embryo is composed of four cells and is surrounded by a fertilization envelope. The second cleavage division has taken place meridional and perpendicular to the first cleavage division. This has produced four blastomeres of equal size, all of which contain both animal and vegetal cytoplasm.	4c	UBERON:0007233												Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		2:30:00	2-cell stage	ecao_developmental_stage				
ECAO:0000175	stage 4		cleavage period				The embryo is composed of 8 cells (8-cell stage).													NCBITaxon:7586				stage 3	ecao_developmental_stage				
